"atlas","tissue","celltype","method","no_of_markers","loading_time","query_time"
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-5000","5",0.189000000000021,0.262000000000057
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","scfind","6",0.841999999999985,0.0240000000000009
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce","6",1.77600000000001,0.225999999999999
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce-sparseMatrix","6",1.29399999999998,0.305999999999926
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat","6",1.37200000000001,0.635999999999967
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat-sparseMatrix","6",1.83100000000002,0.649000000000001
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-1000","6",0.163999999999987,0.256999999999948
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-5000","6",0.189000000000021,0.277000000000044
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","scfind","1",1.01299999999992,0.0190000000000055
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce","1",2.15200000000004,0.308999999999969
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce-sparseMatrix","1",0.871999999999957,0.383000000000038
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat","1",1.51999999999998,0.0660000000000309
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat-sparseMatrix","1",2.13599999999997,0.0670000000000073
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-1000","1",0.221000000000004,0.596000000000004
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-5000","1",0.173000000000002,0.520000000000095
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","scfind","2",1.01299999999992,0.0220000000000482
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce","2",2.15200000000004,0.322999999999979
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce-sparseMatrix","2",0.871999999999957,0.368000000000052
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat","2",1.51999999999998,0.259000000000015
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat-sparseMatrix","2",2.13599999999997,0.259999999999991
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-1000","2",0.221000000000004,0.522000000000048
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-5000","2",0.173000000000002,0.451000000000022
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","scfind","3",1.01299999999992,0.0229999999999109
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce","3",2.15200000000004,0.465999999999894
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce-sparseMatrix","3",0.871999999999957,0.395000000000095
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat","3",1.51999999999998,0.359000000000037
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat-sparseMatrix","3",2.13599999999997,0.354000000000042
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-1000","3",0.221000000000004,0.403999999999996
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-5000","3",0.173000000000002,0.323000000000093
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","scfind","4",1.01299999999992,0.0210000000001855
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce","4",2.15200000000004,0.442000000000007
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce-sparseMatrix","4",0.871999999999957,0.349999999999909
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat","4",1.51999999999998,0.455999999999904
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat-sparseMatrix","4",2.13599999999997,0.997000000000071
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-1000","4",0.221000000000004,0.336999999999989
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-5000","4",0.173000000000002,0.372000000000071
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","scfind","5",1.01299999999992,0.0219999999999345
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce","5",2.15200000000004,0.307999999999993
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce-sparseMatrix","5",0.871999999999957,0.45900000000006
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat","5",1.51999999999998,0.587999999999965
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat-sparseMatrix","5",2.13599999999997,1.10300000000007
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-1000","5",0.221000000000004,0.356999999999971
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-5000","5",0.173000000000002,0.352000000000089
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","scfind","6",1.01299999999992,0.0230000000001382
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce","6",2.15200000000004,0.365000000000009
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","sce-sparseMatrix","6",0.871999999999957,0.371999999999844
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat","6",1.51999999999998,0.694999999999936
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","seurat-sparseMatrix","6",2.13599999999997,1.19899999999984
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-1000","6",0.221000000000004,0.396000000000186
"TM, FACS","BrainNeurons","BrainNeurons.astrocyte of the cerebral cortex","loom-5000","6",0.173000000000002,0.343999999999824
"TM, FACS","BrainNeurons","BrainNeurons.Bergmann glial cell","scfind","1",1.01299999999992,0.0199999999999818
"TM, FACS","BrainNeurons","BrainNeurons.Bergmann glial cell","sce","1",2.15200000000004,0.423999999999978
"TM, FACS","BrainNeurons","BrainNeurons.Bergmann glial cell","sce-sparseMatrix","1",0.871999999999957,0.372000000000071
