	Atlas	cellType	gene
270	MCA	EmbryonicMesenchyme.Stromal Cell_Agtr2 high	11
271	MCA	EmbryonicMesenchyme.Stromal Cell_Cnmd high	14
272	MCA	EmbryonicMesenchyme.Stromal cell_Cxcl12 high	8
273	MCA	EmbryonicMesenchyme.Stromal Cell_Cxcl14 high	9
274	MCA	EmbryonicMesenchyme.Stromal Cell_fabp7 high	7
275	MCA	EmbryonicStemCells.ES_2C_like	49
276	MCA	EmbryonicStemCells.ES_Actb_high	38
277	MCA	EmbryonicStemCells.ES_Nedd4_high	65
278	MCA	EmbryonicStemCells.ES_Rps28_high	60
279	MCA	FetalBrain.Dopaminergic neurons	8
280	MCA	FetalBrain.Ependymal cell	5
281	MCA	FetalBrain.Erythroblast_Hbb-bh1 high	9
282	MCA	FetalBrain.Erythrocyte_Hbb-bt high	6
283	MCA	FetalBrain.Granule neurons	13
284	MCA	FetalBrain.Hippocampus neurons_Asic4 high	10
285	MCA	FetalBrain.Macrophage	11
286	MCA	FetalBrain.Microglia	6
287	MCA	FetalBrain.Neural progenitor cell	7
288	MCA	FetalBrain.Neuron_Kpna2 high	9
289	MCA	FetalBrain.Neuron_tuba1c high	14
290	MCA	FetalBrain.Postmitotic neurons_Lhx9 high	16
291	MCA	FetalBrain.Purkinje cell	10
292	MCA	FetalBrain.Pyramidal neuron cell	13
293	MCA	FetalBrain.Radial glia_Fabp7 high	4
294	MCA	FetalBrain.Radial glia_Vim high	10
295	MCA	FetalBrain.Schwann cell	9
296	MCA	FetalBrain.Stromal cell	5
297	MCA	FetalIntestine.Acinar cell	61
298	MCA	FetalIntestine.Endothelial cell	23
299	MCA	FetalIntestine.Enteric muscle cell	23
300	MCA	FetalIntestine.Enterocyte progenitor	19
301	MCA	FetalIntestine.Enterocyte progenitor_late_Ccnb1 high	21
302	MCA	FetalIntestine.Enterocyte progenitor_late_Ube2c high	20
303	MCA	FetalIntestine.Enteroendocrine	21
304	MCA	FetalIntestine.Epithelial cell_Bex1 high	25
305	MCA	FetalIntestine.Epithelial cell_Lgals2 high	37
306	MCA	FetalIntestine.Erythroblast_Car2 high	31
307	MCA	FetalIntestine.Erythroblast_Hbb-bs high	15
308	MCA	FetalIntestine.Erythroblast_Hbb-y high	21
309	MCA	FetalIntestine.Macrophage_Lyz2 high	28
310	MCA	FetalIntestine.Macrophage_Pf4 high	23
311	MCA	FetalIntestine.Neuronal cell_Fabp7 high	22
312	MCA	FetalIntestine.Neuronal Cells_Rtn1 high	17
313	MCA	FetalIntestine.Stromal cell_Adamdec1 high	19
314	MCA	FetalIntestine.Stromal cell_Stmn2 high	22
315	MCA	FetalIntestine.Stromal cell_Upk3b high	21
316	MCA	FetalIntestine.T cell	24
317	MCA	FetalLiver.B cell	36
318	MCA	FetalLiver.Dendritic cell	16
319	MCA	FetalLiver.Erythroblast_Hba-a2 high	23
320	MCA	FetalLiver.Erythroblast_Klf1 high	26
321	MCA	FetalLiver.Hepatocyte_Afp high	27
322	MCA	FetalLiver.Macrophage	13
323	MCA	FetalLiver.Mast cell_Mcpt8 high	21
324	MCA	FetalLiver.Megakaryocyte	30
325	MCA	FetalLiver.Neutrophil_Elane high	15
326	MCA	FetalLiver.Neutrophil_Ngp high	13
327	MCA	FetalLiver.Stem and progenitor cell	22
328	MCA	FetalLung.Epithelial cell_Aldh1a2_high	20
329	MCA	FetalLung.Epithelial cell_Sftpc high	33
330	MCA	FetalLung.Erythroblast_Hba-x high	19
331	MCA	FetalLung.Erythroblast_Hbb-bs high	14
332	MCA	FetalLung.Erythroblast_Mt2 high	20
333	MCA	FetalLung.Erythroblast_Mt2&Mt1 high	50
334	MCA	FetalLung.Macrophage_Lyz2 high	31
335	MCA	FetalLung.Macrophage_Pf4high	18
