"type","no_of_genes","score","query"
"recall, tissue","5",0.0340909090909091,"AND query"
"precision","1",0.727272727272727,"AND query"
"recall","1",0.355555555555556,"AND query"
"precision, tissue","1",0.888888888888889,"AND query"
"recall, tissue","1",0.355555555555556,"AND query"
"precision","2",0.9,"AND query"
"recall","2",0.2,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.2,"AND query"
"precision","3",0.888888888888889,"AND query"
"recall","3",0.177777777777778,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.177777777777778,"AND query"
"precision","4",0.857142857142857,"AND query"
"recall","4",0.133333333333333,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.133333333333333,"AND query"
"precision","5",1,"AND query"
"recall","5",0.111111111111111,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.111111111111111,"AND query"
"precision","1",0.701810436634718,"AND query"
"recall","1",0.842710997442455,"AND query"
"precision, tissue","1",0.808588957055215,"AND query"
"recall, tissue","1",0.842710997442455,"AND query"
"precision","2",0.916095890410959,"AND query"
"recall","2",0.684143222506394,"AND query"
"precision, tissue","2",0.922413793103448,"AND query"
"recall, tissue","2",0.684143222506394,"AND query"
"precision","3",0.935779816513762,"AND query"
"recall","3",0.652173913043478,"AND query"
"precision, tissue","3",0.940959409594096,"AND query"
"recall, tissue","3",0.652173913043478,"AND query"
"precision","4",0.951807228915663,"AND query"
"recall","4",0.505115089514066,"AND query"
"precision, tissue","4",0.954106280193237,"AND query"
"recall, tissue","4",0.505115089514066,"AND query"
"precision","5",0.949253731343284,"AND query"
"recall","5",0.406649616368286,"AND query"
"precision, tissue","5",0.949253731343284,"AND query"
"recall, tissue","5",0.406649616368286,"AND query"
"precision","1",0.346153846153846,"AND query"
"recall","1",0.36,"AND query"
"precision, tissue","1",0.473684210526316,"AND query"
"recall, tissue","1",0.36,"AND query"
"precision","2",0.714285714285714,"AND query"
"recall","2",0.2,"AND query"
"precision, tissue","2",0.714285714285714,"AND query"
"recall, tissue","2",0.2,"AND query"
"precision","1",0.65959595959596,"AND query"
"recall","1",0.728388176240937,"AND query"
"precision, tissue","1",0.776918500892326,"AND query"
"recall, tissue","1",0.728388176240937,"AND query"
"precision","2",0.832948421862971,"AND query"
"recall","2",0.60345789180145,"AND query"
"precision, tissue","2",0.843335931410756,"AND query"
"recall, tissue","2",0.60345789180145,"AND query"
"precision","3",0.843098311817279,"AND query"
"recall","3",0.47350808700502,"AND query"
"precision, tissue","3",0.847305389221557,"AND query"
"recall, tissue","3",0.47350808700502,"AND query"
"precision","4",0.842264914054601,"AND query"
"recall","4",0.464584495259342,"AND query"
"precision, tissue","4",0.845685279187817,"AND query"
"recall, tissue","4",0.464584495259342,"AND query"
"precision","5",0.903598971722365,"AND query"
"recall","5",0.392080312325711,"AND query"
"precision, tissue","5",0.905927835051546,"AND query"
"recall, tissue","5",0.392080312325711,"AND query"
"precision","1",0.7217125382263,"AND query"
"recall","1",0.86977886977887,"AND query"
"precision, tissue","1",0.875154511742892,"AND query"
"recall, tissue","1",0.86977886977887,"AND query"
"precision","2",0.901269393511989,"AND query"
"recall","2",0.785012285012285,"AND query"
"precision, tissue","2",0.918103448275862,"AND query"
"recall, tissue","2",0.785012285012285,"AND query"
"precision","3",0.913897280966767,"AND query"
"recall","3",0.743243243243243,"AND query"
"precision, tissue","3",0.920852359208524,"AND query"
"recall, tissue","3",0.743243243243243,"AND query"
"precision","4",0.928343949044586,"AND query"
"recall","4",0.716216216216216,"AND query"
"precision, tissue","4",0.935794542536116,"AND query"
"recall, tissue","4",0.716216216216216,"AND query"
"precision","5",0.91991341991342,"AND query"
"recall","5",0.522113022113022,"AND query"
"precision, tissue","5",0.923913043478261,"AND query"
"recall, tissue","5",0.522113022113022,"AND query"
"precision","1",0.148455162019593,"AND query"
"recall","1",0.768031189083821,"AND query"
"precision, tissue","1",0.854663774403471,"AND query"
"recall, tissue","1",0.768031189083821,"AND query"
"precision","2",0.213213213213213,"AND query"
"recall","2",0.276803118908382,"AND query"
"precision, tissue","2",0.940397350993378,"AND query"
"recall, tissue","2",0.276803118908382,"AND query"
"precision","3",0.241007194244604,"AND query"
"recall","3",0.130604288499025,"AND query"
"precision, tissue","3",0.957142857142857,"AND query"
"recall, tissue","3",0.130604288499025,"AND query"
"precision","4",0.248091603053435,"AND query"
"recall","4",0.126705653021442,"AND query"
"precision, tissue","4",0.970149253731343,"AND query"
"recall, tissue","4",0.126705653021442,"AND query"
"precision","5",0.365853658536585,"AND query"
"recall","5",0.087719298245614,"AND query"
"precision, tissue","5",0.978260869565217,"AND query"
"recall, tissue","5",0.087719298245614,"AND query"
"precision","1",0.19311761684643,"AND query"
"recall","1",0.63728813559322,"AND query"
"precision, tissue","1",0.906024096385542,"AND query"
"recall, tissue","1",0.63728813559322,"AND query"
"precision","2",0.256568778979907,"AND query"
"recall","2",0.56271186440678,"AND query"
"precision, tissue","2",0.970760233918129,"AND query"
"recall, tissue","2",0.56271186440678,"AND query"
"precision","3",0.265799256505576,"AND query"
"recall","3",0.484745762711864,"AND query"
"precision, tissue","3",0.979452054794521,"AND query"
"recall, tissue","3",0.484745762711864,"AND query"
"precision","4",0.313131313131313,"AND query"
"recall","4",0.315254237288136,"AND query"
"precision, tissue","4",0.978947368421053,"AND query"
"recall, tissue","4",0.315254237288136,"AND query"
"precision","5",0.335106382978723,"AND query"
"recall","5",0.213559322033898,"AND query"
"precision, tissue","5",0.984375,"AND query"
"recall, tissue","5",0.213559322033898,"AND query"
"precision","1",0.186046511627907,"AND query"
"recall","1",0.156862745098039,"AND query"
"precision, tissue","1",0.8,"AND query"
"recall, tissue","1",0.156862745098039,"AND query"
"precision","2",1,"AND query"
"recall","2",0.0980392156862745,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0980392156862745,"AND query"
"precision","3",1,"AND query"
"recall","3",0.0588235294117647,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0588235294117647,"AND query"
"precision","4",1,"AND query"
"recall","4",0.0588235294117647,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.0588235294117647,"AND query"
"precision","5",1,"AND query"
"recall","5",0.0588235294117647,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0588235294117647,"AND query"
"precision","1",0.489451476793249,"AND query"
"recall","1",0.28361858190709,"AND query"
"precision, tissue","1",0.859259259259259,"AND query"
"recall, tissue","1",0.28361858190709,"AND query"
"precision","2",0.780487804878049,"AND query"
"recall","2",0.234718826405868,"AND query"
"precision, tissue","2",0.96969696969697,"AND query"
"recall, tissue","2",0.234718826405868,"AND query"
"precision","3",0.818965517241379,"AND query"
"recall","3",0.232273838630807,"AND query"
"precision, tissue","3",0.989583333333333,"AND query"
"recall, tissue","3",0.232273838630807,"AND query"
"precision","4",0.813559322033898,"AND query"
"recall","4",0.117359413202934,"AND query"
"precision, tissue","4",0.979591836734694,"AND query"
"recall, tissue","4",0.117359413202934,"AND query"
"precision","5",0.911111111111111,"AND query"
"recall","5",0.100244498777506,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.100244498777506,"AND query"
"precision","1",0.403890160183066,"AND query"
"recall","1",0.733887733887734,"AND query"
"precision, tissue","1",0.939454424484365,"AND query"
"recall, tissue","1",0.733887733887734,"AND query"
"precision","2",0.691115086463924,"AND query"
"recall","2",0.602390852390852,"AND query"
"precision, tissue","2",0.995704467353952,"AND query"
"recall, tissue","2",0.602390852390852,"AND query"
