"type","no_of_genes","score","query"
"recall, tissue","1",0.938461538461538,"OR query"
"precision","2",0.0578199052132701,"OR query"
"recall","2",0.938461538461538,"OR query"
"precision, tissue","2",0.396103896103896,"OR query"
"recall, tissue","2",0.938461538461538,"OR query"
"precision","3",0.0441485634197617,"OR query"
"recall","3",0.969230769230769,"OR query"
"precision, tissue","3",0.353932584269663,"OR query"
"recall, tissue","3",0.969230769230769,"OR query"
"precision","4",0.0348644161593802,"OR query"
"recall","4",0.969230769230769,"OR query"
"precision, tissue","4",0.333333333333333,"OR query"
"recall, tissue","4",0.969230769230769,"OR query"
"precision","5",0.0322250639386189,"OR query"
"recall","5",0.969230769230769,"OR query"
"precision, tissue","5",0.321428571428571,"OR query"
"recall, tissue","5",0.969230769230769,"OR query"
"precision","1",0.145454545454545,"OR query"
"recall","1",0.444444444444444,"OR query"
"precision, tissue","1",1,"OR query"
"recall, tissue","1",0.444444444444444,"OR query"
"precision","2",0.109433962264151,"OR query"
"recall","2",0.805555555555556,"OR query"
"precision, tissue","2",0.878787878787879,"OR query"
"recall, tissue","2",0.805555555555556,"OR query"
"precision","3",0.100346020761246,"OR query"
"recall","3",0.805555555555556,"OR query"
"precision, tissue","3",0.878787878787879,"OR query"
"recall, tissue","3",0.805555555555556,"OR query"
"precision","4",0.0903614457831325,"OR query"
"recall","4",0.833333333333333,"OR query"
"precision, tissue","4",0.882352941176471,"OR query"
"recall, tissue","4",0.833333333333333,"OR query"
"precision","5",0.0884955752212389,"OR query"
"recall","5",0.833333333333333,"OR query"
"precision, tissue","5",0.857142857142857,"OR query"
"recall, tissue","5",0.833333333333333,"OR query"
"precision","1",0.266106442577031,"OR query"
"recall","1",0.519125683060109,"OR query"
"precision, tissue","1",0.926829268292683,"OR query"
"recall, tissue","1",0.519125683060109,"OR query"
"precision","2",0.214664310954064,"OR query"
"recall","2",0.663934426229508,"OR query"
"precision, tissue","2",0.931034482758621,"OR query"
"recall, tissue","2",0.663934426229508,"OR query"
"precision","3",0.16375,"OR query"
"recall","3",0.715846994535519,"OR query"
"precision, tissue","3",0.916083916083916,"OR query"
"recall, tissue","3",0.715846994535519,"OR query"
"precision","4",0.126358695652174,"OR query"
"recall","4",0.762295081967213,"OR query"
"precision, tissue","4",0.818181818181818,"OR query"
"recall, tissue","4",0.762295081967213,"OR query"
"precision","5",0.101604278074866,"OR query"
"recall","5",0.778688524590164,"OR query"
"precision, tissue","5",0.809659090909091,"OR query"
"recall, tissue","5",0.778688524590164,"OR query"
"precision","1",0.0398230088495575,"OR query"
"recall","1",0.327272727272727,"OR query"
"precision, tissue","1",0.666666666666667,"OR query"
"recall, tissue","1",0.327272727272727,"OR query"
"precision","2",0.0317919075144509,"OR query"
"recall","2",0.4,"OR query"
"precision, tissue","2",0.709677419354839,"OR query"
"recall, tissue","2",0.4,"OR query"
"precision","3",0.0330788804071247,"OR query"
"recall","3",0.472727272727273,"OR query"
"precision, tissue","3",0.65,"OR query"
"recall, tissue","3",0.472727272727273,"OR query"
"precision","4",0.0348692403486924,"OR query"
"recall","4",0.509090909090909,"OR query"
"precision, tissue","4",0.666666666666667,"OR query"
"recall, tissue","4",0.509090909090909,"OR query"
"precision","5",0.0337995337995338,"OR query"
"recall","5",0.527272727272727,"OR query"
"precision, tissue","5",0.604166666666667,"OR query"
"recall, tissue","5",0.527272727272727,"OR query"
"precision","1",0.111111111111111,"OR query"
"recall","1",0.5,"OR query"
"precision, tissue","1",1,"OR query"
"recall, tissue","1",0.5,"OR query"
"precision","2",0.0434782608695652,"OR query"
"recall","2",0.5,"OR query"
"precision, tissue","2",1,"OR query"
"recall, tissue","2",0.5,"OR query"
"precision","3",0.0227272727272727,"OR query"
"recall","3",0.5,"OR query"
"precision, tissue","3",1,"OR query"
"recall, tissue","3",0.5,"OR query"
"precision","4",0.0144927536231884,"OR query"
"recall","4",0.5,"OR query"
"precision, tissue","4",1,"OR query"
"recall, tissue","4",0.5,"OR query"
"precision","5",0.0104166666666667,"OR query"
"recall","5",0.5,"OR query"
"precision, tissue","5",1,"OR query"
"recall, tissue","5",0.5,"OR query"
"precision","1",0.596153846153846,"OR query"
"recall","1",0.98936170212766,"OR query"
"precision, tissue","1",0.869158878504673,"OR query"
"recall, tissue","1",0.98936170212766,"OR query"
"precision","2",0.354716981132075,"OR query"
"recall","2",1,"OR query"
"precision, tissue","2",0.686131386861314,"OR query"
"recall, tissue","2",1,"OR query"
"precision","3",0.29375,"OR query"
"recall","3",1,"OR query"
"precision, tissue","3",0.657342657342657,"OR query"
"recall, tissue","3",1,"OR query"
"precision","4",0.234413965087282,"OR query"
"recall","4",1,"OR query"
"precision, tissue","4",0.635135135135135,"OR query"
"recall, tissue","4",1,"OR query"
"precision","5",0.22488038277512,"OR query"
"recall","5",1,"OR query"
"precision, tissue","5",0.635135135135135,"OR query"
"recall, tissue","5",1,"OR query"
"precision","1",0.549215406562054,"OR query"
"recall","1",0.905882352941176,"OR query"
"precision, tissue","1",0.940553745928339,"OR query"
"recall, tissue","1",0.905882352941176,"OR query"
"precision","2",0.439015429831007,"OR query"
"recall","2",0.937254901960784,"OR query"
"precision, tissue","2",0.890461997019374,"OR query"
"recall, tissue","2",0.937254901960784,"OR query"
"precision","3",0.428469496967535,"OR query"
"recall","3",0.941960784313726,"OR query"
"precision, tissue","3",0.887657058388766,"OR query"
"recall, tissue","3",0.941960784313726,"OR query"
"precision","4",0.320337197049526,"OR query"
"recall","4",0.953725490196078,"OR query"
"precision, tissue","4",0.867332382310984,"OR query"
"recall, tissue","4",0.953725490196078,"OR query"
"precision","5",0.261353898886033,"OR query"
"recall","5",0.956862745098039,"OR query"
"precision, tissue","5",0.785070785070785,"OR query"
"recall, tissue","5",0.956862745098039,"OR query"
"precision","1",0.0416666666666667,"OR query"
"recall","1",0.142857142857143,"OR query"
"precision, tissue","1",0.5,"OR query"
"recall, tissue","1",0.142857142857143,"OR query"
"precision","2",0.03886925795053,"OR query"
"recall","2",0.224489795918367,"OR query"
"precision, tissue","2",0.578947368421053,"OR query"
"recall, tissue","2",0.224489795918367,"OR query"
"precision","3",0.0192878338278932,"OR query"
"recall","3",0.795918367346939,"OR query"
"precision, tissue","3",0.534246575342466,"OR query"
"recall, tissue","3",0.795918367346939,"OR query"
"precision","4",0.0190566936636494,"OR query"
"recall","4",0.816326530612245,"OR query"
"precision, tissue","4",0.526315789473684,"OR query"
"recall, tissue","4",0.816326530612245,"OR query"
"precision","5",0.0173053152039555,"OR query"
"recall","5",0.857142857142857,"OR query"
"precision, tissue","5",0.5,"OR query"
"recall, tissue","5",0.857142857142857,"OR query"
"precision","1",0.526685393258427,"OR query"
"recall","1",0.679347826086957,"OR query"
"precision, tissue","1",0.827814569536424,"OR query"
"recall, tissue","1",0.679347826086957,"OR query"
"precision","2",0.441209406494961,"OR query"
"recall","2",0.713768115942029,"OR query"
"precision, tissue","2",0.832980972515856,"OR query"
"recall, tissue","2",0.713768115942029,"OR query"
"precision","3",0.301339285714286,"OR query"
"recall","3",0.733695652173913,"OR query"
"precision, tissue","3",0.701906412478336,"OR query"
"recall, tissue","3",0.733695652173913,"OR query"
"precision","4",0.253722084367246,"OR query"
"recall","4",0.740942028985507,"OR query"
"precision, tissue","4",0.690878378378378,"OR query"
"recall, tissue","4",0.740942028985507,"OR query"
"precision","5",0.233039647577093,"OR query"
"recall","5",0.958333333333333,"OR query"
"precision, tissue","5",0.717774762550882,"OR query"
"recall, tissue","5",0.958333333333333,"OR query"
"precision","1",0.18974358974359,"OR query"
"recall","1",0.345794392523364,"OR query"
"precision, tissue","1",0.954838709677419,"OR query"
"recall, tissue","1",0.345794392523364,"OR query"
"precision","2",0.166062364031907,"OR query"
"recall","2",0.535046728971963,"OR query"
"precision, tissue","2",0.919678714859438,"OR query"
"recall, tissue","2",0.535046728971963,"OR query"
"precision","3",0.168650793650794,"OR query"
"recall","3",0.595794392523365,"OR query"
"precision, tissue","3",0.891608391608392,"OR query"
"recall, tissue","3",0.595794392523365,"OR query"
"precision","4",0.10796992481203,"OR query"
"recall","4",0.838785046728972,"OR query"
"precision, tissue","4",0.890818858560794,"OR query"
"recall, tissue","4",0.838785046728972,"OR query"
"precision","5",0.0944444444444444,"OR query"
"recall","5",0.873831775700935,"OR query"
"precision, tissue","5",0.888361045130641,"OR query"
"recall, tissue","5",0.873831775700935,"OR query"
"precision","1",0.492796332678454,"OR query"
"recall","1",0.814393939393939,"OR query"
"precision, tissue","1",0.940037476577139,"OR query"
"recall, tissue","1",0.814393939393939,"OR query"
"precision","2",0.386784140969163,"OR query"
"recall","2",0.95021645021645,"OR query"
"precision, tissue","2",0.922753547031004,"OR query"
"recall, tissue","2",0.95021645021645,"OR query"
"precision","3",0.321472827049035,"OR query"
"recall","3",0.982683982683983,"OR query"
"precision, tissue","3",0.834175470831419,"OR query"
"recall, tissue","3",0.982683982683983,"OR query"
"precision","4",0.295692853686078,"OR query"
"recall","4",0.991883116883117,"OR query"
"precision, tissue","4",0.821973094170404,"OR query"
"recall, tissue","4",0.991883116883117,"OR query"
"precision","5",0.269876325088339,"OR query"
"recall","5",0.991883116883117,"OR query"
"precision, tissue","5",0.797997387897257,"OR query"
"recall, tissue","5",0.991883116883117,"OR query"
"precision","1",0.48,"OR query"
"recall","1",0.88135593220339,"OR query"
"precision, tissue","1",0.808290155440414,"OR query"
"recall, tissue","1",0.88135593220339,"OR query"
"precision","2",0.401960784313726,"OR query"
"recall","2",0.926553672316384,"OR query"
"precision, tissue","2",0.755760368663594,"OR query"
"recall, tissue","2",0.926553672316384,"OR query"
"precision","3",0.329365079365079,"OR query"
"recall","3",0.937853107344633,"OR query"
"precision, tissue","3",0.640926640926641,"OR query"
"recall, tissue","3",0.937853107344633,"OR query"
"precision","4",0.300884955752212,"OR query"
"recall","4",0.96045197740113,"OR query"
"precision, tissue","4",0.634328358208955,"OR query"
"recall, tissue","4",0.96045197740113,"OR query"
"precision","5",0.197952218430034,"OR query"
"recall","5",0.983050847457627,"OR query"
"precision, tissue","5",0.391011235955056,"OR query"
"recall, tissue","5",0.983050847457627,"OR query"
"precision","1",0.46943231441048,"OR query"
"recall","1",0.565789473684211,"OR query"
"precision, tissue","1",0.784671532846715,"OR query"
"recall, tissue","1",0.565789473684211,"OR query"
"precision","2",0.318138651471985,"OR query"
"recall","2",0.881578947368421,"OR query"
"precision, tissue","2",0.577586206896552,"OR query"
"recall, tissue","2",0.881578947368421,"OR query"
"precision","3",0.235448005232178,"OR query"
"recall","3",0.947368421052632,"OR query"
"precision, tissue","3",0.544629349470499,"OR query"
"recall, tissue","3",0.947368421052632,"OR query"
"precision","4",0.228247162673392,"OR query"
"recall","4",0.952631578947368,"OR query"
"precision, tissue","4",0.539493293591654,"OR query"
"recall, tissue","4",0.952631578947368,"OR query"
"precision","5",0.164270152505447,"OR query"
"recall","5",0.992105263157895,"OR query"
"precision, tissue","5",0.373267326732673,"OR query"
"recall, tissue","5",0.992105263157895,"OR query"
"precision","1",0.773131672597865,"OR query"
"recall","1",0.673121611154144,"OR query"
"precision, tissue","1",0.974215246636771,"OR query"
"recall, tissue","1",0.673121611154144,"OR query"
"precision","2",0.474961479198767,"OR query"
"recall","2",0.955073586367157,"OR query"
"precision, tissue","2",0.792416452442159,"OR query"
"recall, tissue","2",0.955073586367157,"OR query"
"precision","3",0.414393690437069,"OR query"
"recall","3",0.976762199845081,"OR query"
"precision, tissue","3",0.789111389236546,"OR query"
"recall, tissue","3",0.976762199845081,"OR query"
"precision","4",0.320169957510622,"OR query"
"recall","4",0.992254066615027,"OR query"
"precision, tissue","4",0.67598944591029,"OR query"
"recall, tissue","4",0.992254066615027,"OR query"
"precision","5",0.245214395099541,"OR query"
"recall","5",0.992254066615027,"OR query"
"precision, tissue","5",0.603960396039604,"OR query"
"recall, tissue","5",0.992254066615027,"OR query"
"precision","1",0.201178451178451,"OR query"
"recall","1",0.737654320987654,"OR query"
"precision, tissue","1",0.343884892086331,"OR query"
"recall, tissue","1",0.737654320987654,"OR query"
"precision","2",0.164179104477612,"OR query"
"recall","2",0.780864197530864,"OR query"
"precision, tissue","2",0.352367688022284,"OR query"
"recall, tissue","2",0.780864197530864,"OR query"
"precision","3",0.142633228840125,"OR query"
"recall","3",0.842592592592593,"OR query"
"precision, tissue","3",0.31415420023015,"OR query"
"recall, tissue","3",0.842592592592593,"OR query"
"precision","4",0.114263199369582,"OR query"
"recall","4",0.895061728395062,"OR query"
"precision, tissue","4",0.272045028142589,"OR query"
"recall, tissue","4",0.895061728395062,"OR query"
"precision","5",0.102706453851492,"OR query"
"recall","5",0.91358024691358,"OR query"
"precision, tissue","5",0.250211327134404,"OR query"
"recall, tissue","5",0.91358024691358,"OR query"
"precision","1",0.233766233766234,"OR query"
"recall","1",0.794117647058823,"OR query"
"precision, tissue","1",0.590163934426229,"OR query"
"recall, tissue","1",0.794117647058823,"OR query"
"precision","2",0.207381370826011,"OR query"
"recall","2",0.867647058823529,"OR query"
"precision, tissue","2",0.602040816326531,"OR query"
"recall, tissue","2",0.867647058823529,"OR query"
"precision","3",0.16622691292876,"OR query"
"recall","3",0.926470588235294,"OR query"
"precision, tissue","3",0.545454545454545,"OR query"
"recall, tissue","3",0.926470588235294,"OR query"
"precision","4",0.161331626120359,"OR query"
"recall","4",0.926470588235294,"OR query"
"precision, tissue","4",0.540772532188841,"OR query"
"recall, tissue","4",0.926470588235294,"OR query"
"precision","5",0.149643705463183,"OR query"
"recall","5",0.926470588235294,"OR query"
"precision, tissue","5",0.525,"OR query"
"recall, tissue","5",0.926470588235294,"OR query"
"precision","1",0.593886462882096,"OR query"
"recall","1",0.908180300500835,"OR query"
"precision, tissue","1",0.762973352033661,"OR query"
"recall, tissue","1",0.908180300500835,"OR query"
"precision","2",0.425167535368578,"OR query"
"recall","2",0.953255425709516,"OR query"
"precision, tissue","2",0.716436637390213,"OR query"
"recall, tissue","2",0.953255425709516,"OR query"
"precision","3",0.357405140758874,"OR query"
"recall","3",0.974958263772955,"OR query"
"precision, tissue","3",0.601441812564367,"OR query"
"recall, tissue","3",0.974958263772955,"OR query"
"precision","4",0.277541371158392,"OR query"
"recall","4",0.979966611018364,"OR query"
"precision, tissue","4",0.576054955839058,"OR query"
"recall, tissue","4",0.979966611018364,"OR query"
"precision","5",0.241067761806982,"OR query"
"recall","5",0.979966611018364,"OR query"
"precision, tissue","5",0.540515653775322,"OR query"
"recall, tissue","5",0.979966611018364,"OR query"
"precision","1",0.125541125541126,"OR query"
"recall","1",0.408450704225352,"OR query"
"precision, tissue","1",0.316939890710383,"OR query"
"recall, tissue","1",0.408450704225352,"OR query"
"precision","2",0.101449275362319,"OR query"
"recall","2",0.542253521126761,"OR query"
"precision, tissue","2",0.337719298245614,"OR query"
"recall, tissue","2",0.542253521126761,"OR query"
"precision","3",0.0951219512195122,"OR query"
"recall","3",0.549295774647887,"OR query"
"precision, tissue","3",0.330508474576271,"OR query"
"recall, tissue","3",0.549295774647887,"OR query"
"precision","4",0.0865800865800866,"OR query"
"recall","4",0.563380281690141,"OR query"
"precision, tissue","4",0.32258064516129,"OR query"
"recall, tissue","4",0.563380281690141,"OR query"
"precision","5",0.0914572864321608,"OR query"
"recall","5",0.640845070422535,"OR query"
"precision, tissue","5",0.330909090909091,"OR query"
"recall, tissue","5",0.640845070422535,"OR query"
"precision","1",0.0569832402234637,"OR query"
"recall","1",0.337748344370861,"OR query"
"precision, tissue","1",0.879310344827586,"OR query"
"recall, tissue","1",0.337748344370861,"OR query"
"precision","2",0.0494011976047904,"OR query"
"recall","2",0.437086092715232,"OR query"
"precision, tissue","2",0.857142857142857,"OR query"
"recall, tissue","2",0.437086092715232,"OR query"
"precision","3",0.0356874530428249,"OR query"
"recall","3",0.629139072847682,"OR query"
"precision, tissue","3",0.848214285714286,"OR query"
"recall, tissue","3",0.629139072847682,"OR query"
"precision","4",0.033457249070632,"OR query"
"recall","4",0.71523178807947,"OR query"
"precision, tissue","4",0.84375,"OR query"
"recall, tissue","4",0.71523178807947,"OR query"
"precision","5",0.0304781923279033,"OR query"
"recall","5",0.768211920529801,"OR query"
"precision, tissue","5",0.811188811188811,"OR query"
"recall, tissue","5",0.768211920529801,"OR query"
"precision","1",0.071391884951207,"OR query"
"recall","1",0.674757281553398,"OR query"
"precision, tissue","1",0.812865497076023,"OR query"
"recall, tissue","1",0.674757281553398,"OR query"
"precision","2",0.055019305019305,"OR query"
"recall","2",0.830097087378641,"OR query"
"precision, tissue","2",0.788018433179724,"OR query"
"recall, tissue","2",0.830097087378641,"OR query"
"precision","3",0.0490493248828878,"OR query"
"recall","3",0.864077669902913,"OR query"
"precision, tissue","3",0.687258687258687,"OR query"
"recall, tissue","3",0.864077669902913,"OR query"
"precision","4",0.0400938366389422,"OR query"
"recall","4",0.912621359223301,"OR query"
"precision, tissue","4",0.624584717607973,"OR query"
"recall, tissue","4",0.912621359223301,"OR query"
"precision","5",0.0290089824768075,"OR query"
"recall","5",0.956310679611651,"OR query"
"precision, tissue","5",0.331649831649832,"OR query"
"recall, tissue","5",0.956310679611651,"OR query"
"precision","1",0.0601851851851852,"OR query"
"recall","1",0.183098591549296,"OR query"
"precision, tissue","1",0.175675675675676,"OR query"
"recall, tissue","1",0.183098591549296,"OR query"
"precision","2",0.0487804878048781,"OR query"
"recall","2",0.535211267605634,"OR query"
"precision, tissue","2",0.348623853211009,"OR query"
"recall, tissue","2",0.535211267605634,"OR query"
"precision","3",0.040510127531883,"OR query"
"recall","3",0.76056338028169,"OR query"
"precision, tissue","3",0.406015037593985,"OR query"
"recall, tissue","3",0.76056338028169,"OR query"
"precision","4",0.0378234903782349,"OR query"
"recall","4",0.802816901408451,"OR query"
"precision, tissue","4",0.285,"OR query"
"recall, tissue","4",0.802816901408451,"OR query"
"precision","5",0.0329793180547792,"OR query"
"recall","5",0.830985915492958,"OR query"
"precision, tissue","5",0.283653846153846,"OR query"
"recall, tissue","5",0.830985915492958,"OR query"
"precision","1",0.142597308112041,"OR query"
"recall","1",0.806584362139918,"OR query"
"precision, tissue","1",0.837606837606838,"OR query"
"recall, tissue","1",0.806584362139918,"OR query"
"precision","2",0.104089219330855,"OR query"
"recall","2",0.864197530864197,"OR query"
"precision, tissue","2",0.792452830188679,"OR query"
"recall, tissue","2",0.864197530864197,"OR query"
"precision","3",0.0765811965811966,"OR query"
"recall","3",0.921810699588477,"OR query"
"precision, tissue","3",0.733224222585925,"OR query"
"recall, tissue","3",0.921810699588477,"OR query"
"precision","4",0.0607863424728401,"OR query"
"recall","4",0.967078189300412,"OR query"
"precision, tissue","4",0.700447093889717,"OR query"
"recall, tissue","4",0.967078189300412,"OR query"
"precision","5",0.055719862770614,"OR query"
"recall","5",0.969135802469136,"OR query"
"precision, tissue","5",0.682608695652174,"OR query"
"recall, tissue","5",0.969135802469136,"OR query"
"precision","1",0.468085106382979,"OR query"
"recall","1",0.644688644688645,"OR query"
"precision, tissue","1",0.55,"OR query"
"recall, tissue","1",0.644688644688645,"OR query"
"precision","2",0.390794979079498,"OR query"
"recall","2",0.855311355311355,"OR query"
"precision, tissue","2",0.553973902728351,"OR query"
"recall, tissue","2",0.855311355311355,"OR query"
"precision","3",0.362951807228916,"OR query"
"recall","3",0.882783882783883,"OR query"
"precision, tissue","3",0.554660529344074,"OR query"
"recall, tissue","3",0.882783882783883,"OR query"
"precision","4",0.24928092042186,"OR query"
"recall","4",0.952380952380952,"OR query"
"precision, tissue","4",0.536082474226804,"OR query"
"recall, tissue","4",0.952380952380952,"OR query"
"precision","5",0.225139905294877,"OR query"
"recall","5",0.957875457875458,"OR query"
"precision, tissue","5",0.528282828282828,"OR query"
"recall, tissue","5",0.957875457875458,"OR query"
"precision","1",0.373670212765957,"OR query"
"recall","1",0.635746606334842,"OR query"
"precision, tissue","1",0.4390625,"OR query"
"recall, tissue","1",0.635746606334842,"OR query"
"precision","2",0.312182741116751,"OR query"
"recall","2",0.834841628959276,"OR query"
"precision, tissue","2",0.445114595898673,"OR query"
"recall, tissue","2",0.834841628959276,"OR query"
"precision","3",0.266177451634423,"OR query"
"recall","3",0.902714932126697,"OR query"
"precision, tissue","3",0.435114503816794,"OR query"
"recall, tissue","3",0.902714932126697,"OR query"
"precision","4",0.210420841683367,"OR query"
"recall","4",0.950226244343891,"OR query"
"precision, tissue","4",0.429447852760736,"OR query"
"recall, tissue","4",0.950226244343891,"OR query"
"precision","5",0.145069000336587,"OR query"
"recall","5",0.975113122171946,"OR query"
"precision, tissue","5",0.424630541871921,"OR query"
"recall, tissue","5",0.975113122171946,"OR query"
"precision","1",0.0347222222222222,"OR query"
"recall","1",0.285714285714286,"OR query"
"precision, tissue","1",0.769230769230769,"OR query"
"recall, tissue","1",0.285714285714286,"OR query"
"precision","2",0.0303867403314917,"OR query"
"recall","2",0.314285714285714,"OR query"
"precision, tissue","2",0.733333333333333,"OR query"
"recall, tissue","2",0.314285714285714,"OR query"
"precision","3",0.0258780036968577,"OR query"
"recall","3",0.4,"OR query"
"precision, tissue","3",0.636363636363636,"OR query"
"recall, tissue","3",0.4,"OR query"
"precision","4",0.0217391304347826,"OR query"
"recall","4",0.4,"OR query"
"precision, tissue","4",0.636363636363636,"OR query"
"recall, tissue","4",0.4,"OR query"
"precision","5",0.0212765957446809,"OR query"
"recall","5",0.4,"OR query"
"precision, tissue","5",0.636363636363636,"OR query"
"recall, tissue","5",0.4,"OR query"
"precision","1",0.052924791086351,"OR query"
"recall","1",0.387755102040816,"OR query"
"precision, tissue","1",0.0603174603174603,"OR query"
"recall, tissue","1",0.387755102040816,"OR query"
"precision","2",0.0441527446300716,"OR query"
"recall","2",0.755102040816326,"OR query"
"precision, tissue","2",0.109467455621302,"OR query"
"recall, tissue","2",0.755102040816326,"OR query"
"precision","3",0.0298120544394038,"OR query"
"recall","3",0.938775510204082,"OR query"
"precision, tissue","3",0.132183908045977,"OR query"
"recall, tissue","3",0.938775510204082,"OR query"
"precision","4",0.027073732718894,"OR query"
"recall","4",0.959183673469388,"OR query"
"precision, tissue","4",0.117206982543641,"OR query"
"recall, tissue","4",0.959183673469388,"OR query"
"precision","5",0.023488255872064,"OR query"
"recall","5",0.959183673469388,"OR query"
"precision, tissue","5",0.101952277657267,"OR query"
"recall, tissue","5",0.959183673469388,"OR query"
"precision","1",0.0983606557377049,"OR query"
"recall","1",0.133333333333333,"OR query"
"precision, tissue","1",0.857142857142857,"OR query"
"recall, tissue","1",0.133333333333333,"OR query"
"precision","2",0.0580357142857143,"OR query"
"recall","2",0.288888888888889,"OR query"
"precision, tissue","2",0.448275862068966,"OR query"
"recall, tissue","2",0.288888888888889,"OR query"
"precision","3",0.0576923076923077,"OR query"
"recall","3",0.333333333333333,"OR query"
"precision, tissue","3",0.46875,"OR query"
"recall, tissue","3",0.333333333333333,"OR query"
"precision","4",0.0417422867513612,"OR query"
"recall","4",0.511111111111111,"OR query"
"precision, tissue","4",0.575,"OR query"
"recall, tissue","4",0.511111111111111,"OR query"
"precision","5",0.0270061728395062,"OR query"
"recall","5",0.777777777777778,"OR query"
"precision, tissue","5",0.625,"OR query"
"recall, tissue","5",0.777777777777778,"OR query"
"precision","1",0.517525773195876,"OR query"
"recall","1",0.874564459930314,"OR query"
"precision, tissue","1",0.683923705722071,"OR query"
"recall, tissue","1",0.874564459930314,"OR query"
"precision","2",0.404692082111437,"OR query"
"recall","2",0.961672473867596,"OR query"
"precision, tissue","2",0.637413394919169,"OR query"
"recall, tissue","2",0.961672473867596,"OR query"
"precision","3",0.345165238678091,"OR query"
"recall","3",0.982578397212544,"OR query"
"precision, tissue","3",0.574338085539715,"OR query"
"recall, tissue","3",0.982578397212544,"OR query"
"precision","4",0.328323699421965,"OR query"
"recall","4",0.989547038327526,"OR query"
"precision, tissue","4",0.574898785425101,"OR query"
"recall, tissue","4",0.989547038327526,"OR query"
"precision","5",0.253333333333333,"OR query"
"recall","5",0.993031358885017,"OR query"
"precision, tissue","5",0.439137134052388,"OR query"
"recall, tissue","5",0.993031358885017,"OR query"
"precision","1",0.713513513513514,"OR query"
"recall","1",0.745762711864407,"OR query"
"precision, tissue","1",0.830188679245283,"OR query"
"recall, tissue","1",0.745762711864407,"OR query"
"precision","2",0.536423841059603,"OR query"
"recall","2",0.915254237288136,"OR query"
"precision, tissue","2",0.782608695652174,"OR query"
"recall, tissue","2",0.915254237288136,"OR query"
"precision","3",0.476608187134503,"OR query"
"recall","3",0.92090395480226,"OR query"
"precision, tissue","3",0.747706422018349,"OR query"
"recall, tissue","3",0.92090395480226,"OR query"
"precision","4",0.361884368308351,"OR query"
"recall","4",0.954802259887006,"OR query"
"precision, tissue","4",0.678714859437751,"OR query"
"recall, tissue","4",0.954802259887006,"OR query"
"precision","5",0.322097378277154,"OR query"
"recall","5",0.971751412429379,"OR query"
"precision, tissue","5",0.605633802816901,"OR query"
"recall, tissue","5",0.971751412429379,"OR query"
"precision","1",0.386904761904762,"OR query"
"recall","1",0.714285714285714,"OR query"
"precision, tissue","1",0.575221238938053,"OR query"
"recall, tissue","1",0.714285714285714,"OR query"
"precision","2",0.309090909090909,"OR query"
"recall","2",0.747252747252747,"OR query"
"precision, tissue","2",0.56198347107438,"OR query"
"recall, tissue","2",0.747252747252747,"OR query"
"precision","3",0.155052264808362,"OR query"
"recall","3",0.978021978021978,"OR query"
"precision, tissue","3",0.234828496042216,"OR query"
"recall, tissue","3",0.978021978021978,"OR query"
"precision","4",0.146141215106732,"OR query"
"recall","4",0.978021978021978,"OR query"
"precision, tissue","4",0.232984293193717,"OR query"
"recall, tissue","4",0.978021978021978,"OR query"
"precision","5",0.1350531107739,"OR query"
"recall","5",0.978021978021978,"OR query"
"precision, tissue","5",0.232375979112272,"OR query"
"recall, tissue","5",0.978021978021978,"OR query"
"precision","1",0.56,"OR query"
"recall","1",0.427480916030534,"OR query"
"precision, tissue","1",0.777777777777778,"OR query"
"recall, tissue","1",0.427480916030534,"OR query"
"precision","2",0.321875,"OR query"
"recall","2",0.786259541984733,"OR query"
"precision, tissue","2",0.757352941176471,"OR query"
"recall, tissue","2",0.786259541984733,"OR query"
"precision","3",0.169934640522876,"OR query"
"recall","3",0.99236641221374,"OR query"
"precision, tissue","3",0.714285714285714,"OR query"
"recall, tissue","3",0.99236641221374,"OR query"
"precision","4",0.162094763092269,"OR query"
"recall","4",0.99236641221374,"OR query"
"precision, tissue","4",0.702702702702703,"OR query"
"recall, tissue","4",0.99236641221374,"OR query"
"precision","5",0.143171806167401,"OR query"
"recall","5",0.99236641221374,"OR query"
"precision, tissue","5",0.702702702702703,"OR query"
"recall, tissue","5",0.99236641221374,"OR query"
"precision","1",0.171428571428571,"OR query"
"recall","1",0.785046728971963,"OR query"
"precision, tissue","1",0.237960339943343,"OR query"
"recall, tissue","1",0.785046728971963,"OR query"
"precision","2",0.144560357675112,"OR query"
"recall","2",0.906542056074766,"OR query"
"precision, tissue","2",0.212253829321663,"OR query"
"recall, tissue","2",0.906542056074766,"OR query"
"precision","3",0.136044880785414,"OR query"
"recall","3",0.906542056074766,"OR query"
"precision, tissue","3",0.2117903930131,"OR query"
"recall, tissue","3",0.906542056074766,"OR query"
"precision","4",0.12004662004662,"OR query"
"recall","4",0.962616822429907,"OR query"
"precision, tissue","4",0.209775967413442,"OR query"
"recall, tissue","4",0.962616822429907,"OR query"
"precision","5",0.112445414847162,"OR query"
"recall","5",0.962616822429907,"OR query"
"precision, tissue","5",0.208502024291498,"OR query"
"recall, tissue","5",0.962616822429907,"OR query"
"precision","1",0.0537634408602151,"OR query"
"recall","1",0.172413793103448,"OR query"
"precision, tissue","1",0.625,"OR query"
"recall, tissue","1",0.172413793103448,"OR query"
"precision","2",0.0321678321678322,"OR query"
"recall","2",0.793103448275862,"OR query"
