"gene_number","atlas","x","se"
30,"TM,
10X",1.05433333333336,0.725181634376431
31,"TM,
10X",0.897533333333333,0.431950024780677
32,"TM,
10X",1.19060416666665,0.361206474101201
33,"TM,
10X",1.17971794871797,0.428334558723701
34,"TM,
10X",1.71294871794869,0.53072558028181
35,"TM,
10X",1.69121052631581,0.540538601845751
36,"TM,
10X",1.73017857142858,0.637690904500383
37,"TM,
10X",2.14749999999995,0.807658602949855
38,"TM,
10X",1.60350000000002,0.801875121893136
39,"TM,
10X",2.34938709677419,0.948313848733075
40,"TM,
10X",2.465875,1.02107064281015
41,"TM,
10X",2.42800000000001,0.847712569211994
42,"TM,
10X",3.29284210526316,1.16637423252248
43,"TM,
10X",3.19635294117649,1.29583484616264
44,"TM,
10X",4.20984000000002,2.04918702855548
45,"TM,
10X",4.3675454545454,2.82766490143461
46,"TM,
10X",4.6710769230769,2.02557191480609
47,"TM,
10X",4.28128571428572,1.26967670541117
48,"TM,
10X",4.65107692307696,1.89751299917847
49,"TM,
10X",6.14233333333327,3.17356394295121
50,"TM,
10X",7.36800000000003,2.09448659580336
51,"TM,
10X",5.07158823529411,1.72669579007726
52,"TM,
10X",4.97294444444447,1.70593602026241
53,"TM,
10X",7.01979999999999,2.23045890298268
54,"TM,
10X",9.28600000000001,5.41841138744894
55,"TM,
10X",5.77290000000002,2.60512577175589
56,"TM,
10X",7.03535714285715,1.87976841951052
57,"TM,
10X",8.50580000000005,2.59245116443876
58,"TM,
10X",12.470625,4.45601213731034
59,"TM,
10X",8.41206666666664,4.04036094026501
4,"TM,
FACS",0.389947234042672,0.107576960865512
5,"TM,
FACS",0.4959517647062,0.147243209639704
6,"TM,
FACS",0.587394578312594,0.144458893223411
7,"TM,
FACS",0.684964285714419,0.166810926595207
8,"TM,
FACS",0.796973300971093,0.180551381376556
9,"TM,
FACS",0.853954929577984,0.193117658698017
10,"TM,
FACS",0.94456677524398,0.20879039021573
11,"TM,
FACS",1.05500386100346,0.223112112458563
12,"TM,
FACS",1.12977689243037,0.234287856289537
13,"TM,
FACS",1.28084020618486,0.270474643340742
14,"TM,
FACS",1.37761878452935,0.288246300344603
15,"TM,
FACS",1.33950314465409,0.271882848347646
16,"TM,
FACS",1.59132679738485,0.346038113318227
17,"TM,
FACS",1.67965486725592,0.359480362914477
18,"TM,
FACS",1.7841705426354,0.348889166338462
19,"TM,
FACS",1.80193670886043,0.381701597382453
20,"TM,
FACS",1.95464772727329,0.428496360797861
21,"TM,
FACS",1.90639393939328,0.39217138230658
22,"TM,
FACS",2.21287142857244,0.448024410059597
23,"TM,
FACS",2.43881818181862,0.521882668269524
24,"TM,
FACS",2.42834375000166,0.503895171881426
25,"TM,
FACS",2.7124210526312,0.596385970159797
26,"TM,
FACS",2.8166296296269,0.576085621887747
27,"TM,
FACS",3.25220833333636,0.617090441029563
28,"TM,
FACS",3.19907017543824,0.686022635297486
29,"TM,
FACS",2.96618181818419,0.657552751604168
30,"TM,
FACS",3.79339130434686,0.751565740324546
31,"TM,
FACS",3.34876666667114,0.900880915113392
32,"TM,
FACS",5.24651020408159,1.36608415163564
33,"TM,
FACS",4.40405128204983,0.660903496010714
34,"TM,
FACS",6.02820512820528,1.13810720602875
35,"TM,
FACS",5.76031578947272,1.2054487786274
36,"TM,
FACS",5.8162499999983,1.08522648685627
37,"TM,
FACS",6.17940540540636,1.15351833034419
38,"TM,
FACS",5.86846428571568,1.55243839971772
39,"TM,
FACS",6.97421874999964,1.56721485335308
40,"TM,
FACS",11.6221200000029,10.0071867119897
41,"TM,
FACS",7.94510000000446,2.32741539910523
42,"TM,
FACS",8.50784210526342,1.61784223419325
43,"TM,
FACS",7.86494117647046,2.29779806810102
